June 2012,,,,,,,,
CTRY,CALLSIGN,NAME,Observations,N<30,N<60,N<120,N>360,Average (R-O) (mins)
    , B2M1297, ,1,1,1,1,0,30
    , B2M1303, ,17,16,17,17,0,17.9
    , BATEU00, ,366,366,366,366,0,5
    , BATEU05, ,326,326,326,326,0,5.1
    , BAREU00, ,597,587,597,597,0,4.2
    , BAREU04, ,543,540,543,543,0,2.8
    , BAREU08, ,549,548,549,549,0,1.8
    , BAREU11, ,587,489,587,587,0,13.3
    , BAREU12, ,328,239,328,328,0,15.8
    , BAREU51, ,503,449,503,503,0,8.7
    , BAREU54, ,460,460,460,460,0,2.7
    , BAREU56, ,366,365,365,365,1,0
    , BAREU58, ,414,345,414,414,0,14
    , BAREU60, ,334,329,334,334,0,3.4
    , BAREU62, ,386,304,386,386,0,15.2
    , BAREU63, ,291,290,290,290,1,4.8
    , BAREU64, ,366,338,366,366,0,11.7
    , BAREU65, ,651,651,651,651,0,0
    , BAREU66, ,481,382,481,481,0,15.1
    , BATEU02, ,413,413,413,413,0,5.5
    , BATEU03, ,232,232,232,232,0,5.7
    , BATEU04, ,400,400,400,400,0,5.3
    , BATEU08, ,490,490,490,490,0,5.5
    , BATEU09, ,470,470,470,470,0,5.3
    , BATFR01, ,175,175,175,175,0,4.7
    , BATFR02, ,314,314,314,314,0,4.8
    , BATFR03, ,478,478,478,478,0,4.5
    , BATFR04, ,284,284,284,284,0,4.3
    , BATFR05, ,195,195,195,195,0,5.6
    , BATFR08, ,590,590,590,590,0,4.8
    , BATFR09, ,471,471,471,471,0,4.8
    , BATFR10, ,328,328,328,328,0,5.2
    , BATFR11, ,234,234,234,234,0,4.7
    , BATFR12, ,193,193,193,193,0,4.5
    , BATFR13, ,387,387,387,387,0,4.7
    , BATFR14, ,346,346,346,346,0,4.8
    , BATFR15, ,278,278,278,278,0,4.8
    , BATFR16, ,364,364,364,364,0,5
    , BATFR17, ,34,34,34,34,0,4
    , BATFR18, ,446,446,446,446,0,4.8
    , BATFR20, ,310,310,310,310,0,5
    , BATFR21, ,370,370,370,370,0,5.2
    , BATFR22, ,295,295,295,295,0,4.8
    , BATFR23, ,12,12,12,12,0,6.7
    , BATFR24, ,571,571,571,571,0,4.9
    , BATFR27, ,441,441,441,441,0,4.8
    , BATFR28, ,495,495,495,495,0,5.3
    , BATFR29, ,471,471,471,471,0,4.9
    , BATFR32, ,325,325,325,325,0,3.2
    , BATFR33, ,307,307,307,307,0,4.9
    , BATFR34, ,260,260,260,260,0,5
    , BATFR35, ,301,301,301,301,0,5
    , BATFR36, ,320,320,320,320,0,5.8
    , BATFR39, ,221,221,221,221,0,5
    , BATFR41, ,263,263,263,263,0,5
    , BATFR42, ,432,432,432,432,0,5.6
    , BATFR44, ,153,153,153,153,0,3.9
    , BATFR45, ,239,239,239,239,0,4.4
    , BATFR46, ,432,432,432,432,0,5.4
    , BATFR47, ,307,307,307,307,0,5.7
    , BATFR48, ,201,201,201,201,0,5.6
    , BATFR49, ,401,401,401,401,0,4.4
    , BATFR52, ,510,510,510,510,0,5.4
    , BATFR53, ,60,60,60,60,0,4.1
    , BATFR54, ,430,430,430,430,0,5
    , BATFR55, ,330,330,330,330,0,5
    , BATFR56, ,524,524,524,524,0,4.8
    , BATFR58, ,537,537,537,537,0,4.9
    , BATFR59, ,80,80,80,80,0,5.4
    , BATFR60, ,218,218,218,218,0,4.9
    , BATFR61, ,2,2,2,2,0,6
    , BATFR62, ,98,98,98,98,0,4.9
    , BATFR63, ,180,180,180,180,0,5.4
    , MINFR00, ,574,70,212,444,0,86
    , MINFR03, ,649,35,131,322,17,141.3
    , MINFR09, ,672,65,210,430,6,114.9
    , AMOUK01, ,25,25,25,25,0,1.9
    , AMOUK02, ,503,502,502,503,0,2
    , AMOUK03, ,527,527,527,527,0,1.9
    , AMOUK05, ,524,524,524,524,0,1.8
    , AMOUK06, ,536,536,536,536,0,1.9
    , AMOUK08, ,547,547,547,547,0,1.8
    , AMOUK09, ,541,541,541,541,0,1.9
    , AMOUK10, ,166,165,165,166,0,2.3
    , AMOUK11, ,540,540,540,540,0,1.8
    , AMOUK12, ,540,538,538,540,0,2.1
    , AMOUK13, ,535,530,530,535,0,2.4
    , AMOUK14, ,526,526,526,526,0,1.9
    , AMOUK15, ,521,515,519,521,0,2.4
    , AMOUK16, ,345,345,345,345,0,1.9
    , AMOUK17, ,386,386,386,386,0,1.9
    , AMOUK19, ,409,409,409,409,0,1.8
    , AMOUK20, ,266,266,266,266,0,1.9
    , AMOUK21, ,548,548,548,548,0,1.9
    , AMOUK22, ,531,530,530,531,0,2
    , AMOUK23, ,526,525,525,526,0,2
    , AMOUK24, ,357,357,357,357,0,1.9
    , AMOUK25, ,523,522,523,523,0,2.1
    , AMOUK26, ,551,551,551,551,0,1.8
    , AMOUK27, ,473,473,473,473,0,1.8
    , AMOUK28, ,419,362,363,416,0,10.5
    , AMOUK29, ,524,522,522,524,0,2.1
    , AMOUK30, ,484,457,457,483,0,5.4
    , AMOUK31, ,485,451,451,483,0,6.4
    , AMOUK33, ,485,485,485,485,0,1.9
    , AMOUK34, ,545,545,545,545,0,1.9
    , AMOUK35, ,543,539,539,543,0,2.3
    , AMOUK36, ,548,547,547,548,0,1.9
    , BATEU01, ,493,493,493,493,0,5.1
    , BATEU06, ,510,510,510,510,0,5.5
    , BATUK01, ,656,654,655,656,0,12.6
    , IDDUK02, ,388,361,372,386,0,11.4
    , MINUK01, ,706,224,505,679,0,50.4
    , MINUK03, ,708,207,478,670,0,54.5
    , MINUK05, ,708,235,514,674,0,50.6
    , TBWUK03, ,27,9,22,25,0,51.7
    , TBWUK04, ,52,46,48,49,0,20.1
    , TBWUK05, ,14,6,7,13,0,56.6
    , TBWUK06, ,25,11,22,25,0,28.7
    , TBWUK08, ,2,2,2,2,0,10
    , TBWUK09, ,23,2,11,17,3,373.9
    , TBWUK11, ,71,50,63,66,2,54.4
    , TBWUK16, ,51,26,44,50,0,41.7
    , TBWUK18, ,24,7,14,23,1,122.6
    , TBWUK19, ,16,6,9,9,5,198.5
    , TBWUK30, ,25,13,19,19,3,92.7
    , TBWUK34, ,86,30,72,80,2,76.2
    , TBWUK35, ,75,36,65,74,0,41.8
    , TBWUK37, ,49,18,45,48,1,45.2
    , TBWUK38, ,19,15,18,19,0,21.4
    , TBWUK48, ,55,35,53,55,0,22.4
    , TBWUK49, ,4,2,3,4,0,29.5
    , TBWUK50, ,60,30,54,58,0,39.2
    , TBWUK51, ,14,0,6,11,2,218.1
AU  , VJD2969, ABURRI,5,1,3,5,0,63.4
AU  , 9KWP, AL SHUWAIKH,40,31,40,40,0,22.6
AU  , 2ALD3, ANL WANGARATTA,8,4,8,8,0,39.4
AU  , 9V7548, ANL WARRAIN,8,2,7,8,0,56.4
AU  , 2AJU5, ANL WYONG,18,12,16,18,0,30.4
AU  , 9VBX, APL AMAZONITE,8,6,7,8,0,28.6
AU  , A8TX8, APL BAHRAIN,5,1,3,5,0,51.6
AU  , A8TX9, APL RIYADH,59,31,55,59,0,35.5
AU  , VNW6069, ASHMORE GUARDIAN,38,23,26,29,3,106.6
AU  , C6HS4, BADER III,30,22,29,30,0,25.5
AU  , V7VZ6, CAPE MAAS,61,60,61,61,0,16.2
AU  , 9VEY2, CAPITAINE TASMAN,12,4,8,11,0,55.5
AU  , VK4041, CHANCE,19,19,19,19,0,10.5
AU  , VRWS4, CHEKIANG,12,11,12,12,0,17.8
AU  , VRUB2, CHENAN,8,8,8,8,0,15.4
AU  , VRSR, CHENGTU,29,28,29,29,0,17.4
AU  , VROC, CORAL CHIEF,12,12,12,12,0,18
AU  , PBLQ, DIAMANTGRACHT,1,1,1,1,0,15
AU  , VNJC, H.M.B. ENDEAVOUR,31,15,27,31,0,36.8
AU  , VROB, HIGHLAND CHIEF,26,11,26,26,0,30
AU  , VRRB, ISLAND CHIEF,22,21,22,22,0,18.1
AU  , VRRD, KOKOPO CHIEF,9,9,9,9,0,15.1
AU  , FHZI, L\'ASTROLABE,667,341,667,667,0,30.1
AU  , VMAL, LINDESAY CLARK,24,22,23,24,0,18
AU  , 9V8207, MAERSK BATUR,2,1,1,2,0,38.5
AU  , 9V8208, MAERSK BRANI,48,25,38,44,1,70.5
AU  , C6RI4, MAYSORA,47,39,46,47,0,24
AU  , VRFN8, MOL EMINENCE,16,9,16,16,0,26.9
AU  , VNVZ, NORTHWEST SANDERLING,12,12,12,12,0,11.6
AU  , VNVG, NORTHWEST SANDPIPER,16,12,14,16,0,25
AU  , ZCAO7, NORTHWEST SHEARWATER,32,6,20,32,0,69.2
AU  , VNVS, NORTHWEST SNIPE,20,20,20,20,0,13.1
AU  , VNVF, NORTHWEST STORMPETREL,1,1,1,1,0,10
AU  , VMQ8808, OCEANIC DISCOVERER,49,34,41,45,2,57.1
AU  , VRFS2, OOCL NEW ZEALAND,14,0,12,14,0,62.7
AU  , VRDU8, OOCL PANAMA,2,2,2,2,0,22.5
AU  , 2AGH7, PACIFIC DAWN,11,11,11,11,0,17.9
AU  , MPRZ, PACIFIC JEWEL,3,0,1,1,0,180
AU  , GRFP, PACIFIC PEARL,13,11,12,13,0,20.3
AU  , ZCDS3, PACIFIC PRINCESS,46,38,45,46,0,18.9
AU  , 9HA2479, PACIFIC SUN,671,521,671,671,0,22.1
AU  , ELXS8, PACIFIC TRIANGLE,9,9,9,9,0,13.9
AU  , VRRC, PAPUAN CHIEF,11,11,11,11,0,16.6
AU  , VNVM, PIONEER,8,5,6,8,0,38.9
AU  , VNAH, PORTLAND,438,221,438,438,0,30.6
AU  , V2OG2, PRINCESS MARY,14,14,14,14,0,15.4
AU  , VJRB, RIVER BOYNE,9,7,9,9,0,25.6
AU  , MNDC9, SAFMARINE MERU,10,9,10,10,0,19.2
AU  , MPJH9, SAFMARINE MULANJE,74,30,52,66,2,72.7
AU  , MGYB8, SANTA MONICA,56,52,54,55,1,26.2
AU  , VLHJ, SOUTHERN SURVEYOR,114,1,70,105,2,79.5
AU  , VNSZ, SPIRIT OF TASMANIA II,703,701,703,703,0,15.6
AU  , C6FS9, STADACONA,688,478,688,688,0,24.5
AU  , ZCBU6, SUN PRINCESS,7,3,5,6,0,56.1
AU  , V7PB5, TANDARA SPIRIT,9,6,8,9,0,36.7
AU  , VHAF, TASMANIAN ACHIEVER,18,7,15,18,0,42.1
CA  , VOPP, AIVIK,190,188,190,190,0,11.3
CA  , VCJM, ALGOMA ENTERPRISE,699,697,699,699,0,11.1
CA  , VAAP, ALGOSCOTIA,706,704,706,706,0,11
CA  , CGDT, AMUNDSEN,357,357,357,357,0,11
CA  , VCLM, ARCTIC,715,710,715,715,0,11.2
CA  , VOKJ, AVALON,709,707,709,709,0,11.1
CA  , CGDR, BARTLETT,368,366,368,368,0,11.1
CA  , VXKF, BLUE PUTTEES,715,713,715,715,0,11.1
CA  , CFN3031, C. T. M. A. VACANCIER,184,182,184,184,0,11.3
CA  , VCSZ, CABOT,701,699,701,701,0,11.1
CA  , VOKF, CAMILLA DESGAGNES,372,370,372,372,0,11.1
CA  , VCRG, CTMA MADELEINE,710,705,708,710,0,11.3
CA  , VCBW, DARA DESGAGNES,361,361,361,361,0,10.9
CA  , CGDX, DES GROSEILLIERS,610,608,610,610,0,11.1
CA  , CG2522, DUMIT,602,600,602,602,0,11.1
CA  , CG3029, EARL GREY,557,555,557,557,0,11.1
