ITU Country Codes
1998

Name = short country name in English
ITU  = ITU country designator
ISO  = ISO country designator
M    = ITU member? (Y/N)
C    = ITU council member? (Y/N)
L    = Main language spoken in country


Country Name                            ITU   ISO     M    C    L

Adelie Land                             ADL           N    N    F  
Afghanistan                             AFG   AFG     Y    N    F/E
Albania                                 ALB   ALB     Y    N    F  
Algeria                                 ALG   DZA     Y    Y    F  
American Samoa                          SMA   ASM     N    N    E  
Andorra                                 AND   AND     Y    N    F/S
Angola                                  AGL   AGO     Y    N    F  
Anguilla                                AIA   AIA     N    N    E  
Antigua and Barbuda                     ATG   ATG     Y    N    E  
Argentina                               ARG   ARG     Y    Y    S  
Armenia                                 ARM   ARM     Y    N    E  
Aruba                                   ABW   ABW     N    N    E  
Ascension                               ASC           N    N    E  
Australia                               AUS   AUS     Y    Y    E  
Austria                                 AUT   AUT     Y    N    E  
Azerbaijan                              AZE   AZE     Y    N    E  
Azores                                  AZR           N    N    F  
Bahamas                                 BAH   BHS     Y    Y    E  
Bahrain                                 BHR   BHR     Y    N    E  
Bangladesh                              BGD   BGD     Y    N    E  
Barbados                                BRB   BRB     Y    N    E  
Belarus                                 BLR   BLR     Y    N    E  
Belgium                                 BEL   BEL     Y    N    F  
Belize                                  BLZ   BLZ     Y    N    E  
Benin                                   BEN   BEN     Y    Y    F  
Bermuda                                 BER   BMU     N    N    E  
Bhutan                                  BTN   BTN     Y    N    E  
Bolivia                                 BOL   BOL     Y    N    S  
Bosnia and Herzegovina                  BIH   BIH     Y    N    E  
Botswana                                BOT   BWA     Y    N    E  
Brazil                                  B     BRA     Y    Y    E  
British Virgin Islands                  VRG   VGB     N    N    E  
Brunei Darussalam                       BRU   BRN     Y    N    E  
Bulgaria                                BUL   BGR     Y    Y    F  
Burkina Faso                            BFA   BFA     Y    Y    F  
Burundi                                 BDI   BDI     Y    N    F  
Cambodia                                CBG   KHM     Y    N    F  
Cameroon                                CME   CMR     Y    Y    F/E
Canada                                  CAN   CAN     Y    Y    F/E
Cape Verde                              CPV   CPV     Y    Y    F  
Cayman Islands                          CYM   CYM     N    N    E  
Central African Rep.                    CAF   CAF     Y    N    F  
Chad                                    TCD   TCD     Y    N    F  
