# STATION_ID | OWNER | TTYPE | HULL | NAME | PAYLOAD | LOCATION | TIMEZONE | FORECAST | NOTE
#
0y2w3|CG|Weather Station||Sturgeon Bay CG Station, WS||44.794 N 87.313 W (44&#176;47'40" N 87&#176;18'47" W)|C| |
13001|PR|Atlas Buoy|PM-595|NE Extension||12.000 N 23.000 W (12&#176;0'0" N 23&#176;0'0" W)|| |
13002|PR|Atlas Buoy||NE Extension||21.000 N 23.000 W (21&#176;0'0" N 23&#176;0'0" W)|| |
13008|PR|Atlas Buoy|PM-531|Reggae||15.000 N 38.000 W (15&#176;0'0" N 38&#176;0'0" W)|| |
13009|PR|Atlas Buoy|PM-533|Lambada||8.000 N 38.000 W (8&#176;0'0" N 38&#176;0'0" W)|| |
13010|PR|Atlas Buoy|PM-590|Soul||0.000 N 0.000 E (0&#176;0'0" N 0&#176;0'0" E)|| |
15001|PR|Atlas Buoy|PM-597|Gavotte||10.000 S 10.000 W (10&#176;0'0" S 10&#176;0'0" W)|| |
15002|PR|Atlas Buoy|PM-591|Java||0.000 N 10.000 W (0&#176;0'0" N 10&#176;0'0" W)|| |
15006|PR|Atlas Buoy|PM-593|Valse||6.000 S 10.000 W (6&#176;0'0" S 10&#176;0'0" W)|| |
15007|PR|Atlas Buoy|PM-605A|SE Extension||6.000 S 8.000 E (6&#176;0'0" S 8&#176;0'0" E)|| |
15319|CT|Fixed Drilling Platform||Sanha - WANE 25947||5.583 S 11.833 E (5&#176;35'0" S 11&#176;50'0" E)|?| |
21178|JM|Buoy||South of Shikoku||33.120 N 133.620 E (33&#176;7'12" N 133&#176;37'12" E)|?| |
21401|HY|STB - SAIC Tsunami Buoy||250NM Southeast of Iturup Island|STB payload|42.617 N 152.583 E (42&#176;37'0" N 152&#176;35'0" E)|?| |This station was established on 11/08/2010.
21413|N|2.6-meter discus buoy|2.6D20|690 NM Southeast of Tokyo, Japan|DART II payload|30.515 N 152.117 E (30&#176;30'55" N 152&#176;7'1" E)|?| |
21414|N|2.6-meter discus buoy|2.6D49|NW Pacific|DART II payload|48.948 N 178.263 E (48&#176;56'54" N 178&#176;15'48" E)|?| |
21415|N|2.6-meter discus buoy|2.6D06|175 NM S of Attu AK|DART II payload|50.183 N 171.847 E (50&#176;11'0" N 171&#176;50'48" E)|?| |
21416|N|2.6-meter discus buoy|2.6D33|240NM SE of Kamchatka Peninsula|DART II payload|48.058 N 163.505 E (48&#176;3'30" N 163&#176;30'18" E)|?| |
21417|N|2.6-meter discus buoy|26D38|290NM SE of the Kuril Islands|DART II payload|43.192 N 157.142 E (43&#176;11'30" N 157&#176;8'30" E)|?| |<p>Station 21417 has been disestablished 7/05/2009, replaced by station 21419 92NM to the Northeast.</p>
21418|N|2.6-meter discus buoy|26D42|450 NM NE of Tokyo, Japan|DART II payload|38.711 N 148.694 E (38&#176;42'38" N 148&#176;41'37" E)|?| |DART station 21418 has been declared inoperative as of 9/1/2012 due to spiking issues. It will be entered into the maintenance schedule for service.
21419|N|2.6-meter discus buoy|2.6D21|209NM SE of KURIL ISLANDS|DART II payload|44.455 N 155.736 E (44&#176;27'18" N 155&#176;44'8" E)|P| |
21595|JM|Drifting Buoy||Drifter||36.700 N 132.167 W (36&#176;42'0" N 132&#176;10'0" W)|?| |
21597|JM|Drifting Buoy||Drifter||32.800 N 155.200 E (32&#176;48'0" N 155&#176;12'0" E)|?| |
21598|JM|Drifting Buoy||Drifter||31.300 N 152.700 E (31&#176;18'0" N 152&#176;42'0" E)|?| |
21600|JM|Drifting Buoy||Drifter||40.700 N 154.500 E (40&#176;42'0" N 154&#176;30'0" E)|?| |
21636|JM|Drifting Buoy||Drifter||31.500 N 127.400 E (31&#176;30'0" N 127&#176;24'0" E)|?| |
21637|JM|Drifting Buoy||Drifter||29.300 N 141.250 E (29&#176;18'0" N 141&#176;15'0" E)|?| |
21640|JM|Drifting Buoy||Drifter||28.300 N 135.500 E (28&#176;18'0" N 135&#176;30'0" E)|?| |
21707|JM|Drifting Buoy||||25.000 N 136.000 E (25&#176;0'0" N 136&#176;0'0" E)|?| |
22101|KO|Buoy||||37.230 N 126.020 E (37&#176;13'48" N 126&#176;1'12" E)|?| |
22102|KO|Buoy||||34.800 N 125.770 E (34&#176;48'0" N 125&#176;46'12" E)|?| |
22103|KO|Buoy||||34.000 N 127.500 E (34&#176;0'0" N 127&#176;30'0" E)|?| |
22104|KO|Buoy||||34.770 N 128.900 E (34&#176;46'12" N 128&#176;54'0" E)|?| |
22105|KO|Buoy||||37.530 N 130.000 E (37&#176;31'48" N 130&#176;0'0" E)|?| |
22106|KO|Buoy||||36.350 N 129.780 E (36&#176;21'0" N 129&#176;46'48" E)|?| |
22107|KO|Buoy||||33.080 N 126.030 E (33&#176;4'48" N 126&#176;1'48" E)|?| |
22108|KO|Buoy||||36.250 N 125.750 E (36&#176;15'0" N 125&#176;45'0" E)|?| |
23020|KA|Buoy|2.8DX1|Red Sea|WAMDAS payload|22.162 N 38.500 E (22&#176;9'43" N 38&#176;30'0" E)|?| |
23227|IS|STB - SAIC Tsunami Buoy||Bay of Bengal|SAIC Tsunami Buoy (STB) with DART II BPR|6.255 N 88.792 E (6&#176;15'17" N 88&#176;47'31" E)|?| |
23228|IS|STB - SAIC Tsunami Buoy||Arabian Sea|SAIC Tsunami Buoy (STB) with DART II BPR|20.799 N 65.347 E (20&#176;47'55" N 65&#176;20'48" E)|?| |
23401|TH|STB - SAIC Tsunami Buoy||600 NM West-Northwest of Phuket, Thailand|DART II payload|8.905 N 88.540 E (8&#176;54'18" N 88&#176;32'24" E)|?| |
28401|PM|Buoy||Kuroshio Extension Observatory (KEO)||32.400 N 144.600 E (32&#176;24'0" N 144&#176;36'0" E)|?| |
28900|UW|Sea Glider||SG168||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
28901|UW|Sea Glider||SG169||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
28902|UW|Sea Glider||SG176||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
28903|UW|Sea Glider||SG182||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
28904|UW|Sea Glider||SG140||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
28905|UW|Sea Glider||SG122||30.000 N 90.000 W (30&#176;0'0" N 90&#176;0'0" W)|?| |
31001|PR|Atlas Buoy|PM-527|Samba||0.000 N 35.000 W (0&#176;0'0" N  35&#176;0'0" W)|| |
31002|PR|Atlas Buoy|PM-541|Frevo||4.000 N 38.000 W (4&#176;0'0" N 38&#176;0'0" W)|| |
31003|PR|Atlas Buoy|PM-542|SW Extension||8.000 S 30.000 W (8&#176;0'0" S 30&#176;0'0" W)|| |
31004|PR|Atlas Buoy|PM-543|SW Extension||14.000 S 32.000 W (14&#176;0'0" S 32&#176;0'0" W)|| |
31005|PR|Atlas Buoy|PM-544|SW Extension||19.000 S 34.000 W (19&#176;0'0" S 34&#176;0'0" W)|| |
31006|PR|Atlas Buoy|PM-598|NE Extension||4.000 N 23.000 W (4&#176;0'0" N 23&#176;0'0" W)|| |
31007|PR|Atlas Buoy|PM-599|Jazz||0.000 N 23.000 W (0&#176;0'0" N 23&#176;0'0" W)|| |
31201|R|Waverider Buoy||Floripa, Brazil (109)||27.705 S 48.134 W (27&#176;42'17" S 48&#176;8'2" W)|?| |
