JCOMMOPS WMO-PLATFORM cross reference list as of 2012-09-08 for WMO number still allocated in the last 6 months (with WMO Ids that are numerical)

WMO;TELECOM ID;TELECOM SYSTEM;PTFM NAME;PTFM FAMILY;PTFM TYPE;CONTACT NAME;EMAIL;PROGRAM;ROLE;AGENCY;COUNTRY;ALLOC_DATE;DEALLOC_DATE;ARGOS_PROG

10044;BSH:10044;METEOSAT;MB:10044;FIXED;METSTATION;;;;;KIEL UNIVERSITY;DEU;2001-01-01;3000-01-01;
10044;BSH:10044;METEOSAT;MB:10044;FIXED;METSTATION;;;;;KIEL UNIVERSITY;DEU;2001-01-01;3000-01-01;
11908;88671;ARGOS;ARGOS:88671;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-07-19;3000-01-01;
11908;88671;ARGOS;ARGOS:88671;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-07-19;3000-01-01;
13001;6805;ARGOS;TAO12N23W;MB;ATLAS;;;;;DHN;BRA;2012-08-23;3000-01-01;
13001;6805;ARGOS;TAO12N23W;MB;ATLAS;;;;;DHN;BRA;2012-08-23;3000-01-01;
13001;6805;ARGOS;TAO12N23W;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-08-23;3000-01-01;
1300130;PDE:CANAR:13130;INMARSAT;PDE:GRAN CANARIA;MB;WAVEBUOY;;;;;;;2010-11-01;3000-01-01;
1300131;PDE:TENER:13131;INMARSAT;PDE:TENERIFE;MB;WAVEBUOY;;;;;;;2010-11-01;3000-01-01;
13002;11110;ARGOS;TAO21N23W;MB;ATLAS;;;;;DHN;BRA;2012-07-24;3000-01-01;
13002;11110;ARGOS;TAO21N23W;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-07-24;3000-01-01;
13002;11110;ARGOS;TAO21N23W;MB;ATLAS;;;;;DHN;BRA;2012-07-24;3000-01-01;
13008;27040;ARGOS;TAO15N38W;MB;ATLAS;;;;;NOAA/PMEL;USA;2011-12-13;3000-01-01;
13008;27040;ARGOS;TAO15N38W;MB;ATLAS;;;;;DHN;BRA;2011-12-13;3000-01-01;
13008;27040;ARGOS;TAO15N38W;MB;ATLAS;;;;;DHN;BRA;2011-12-13;3000-01-01;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-08-22;3000-01-01;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;DHN;BRA;2012-08-22;3000-01-01;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;DHN;BRA;2011-09-22;2012-04-07;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;NOAA/PMEL;USA;2011-09-22;2012-04-07;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;DHN;BRA;2011-09-22;2012-04-07;
13009;28382;ARGOS;TAO08N38W;MB;ATLAS;;;;;DHN;BRA;2012-08-22;3000-01-01;
13010;11117;ARGOS;TAO00N00W;MB;ATLAS;;;;;DHN;BRA;2012-04-25;3000-01-01;
13010;11117;ARGOS;TAO00N00W;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-04-25;3000-01-01;
13010;11117;ARGOS;TAO00N00W;MB;ATLAS;;;;;DHN;BRA;2012-04-25;3000-01-01;
13515;101521;ARGOS;ARGOS:101521;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;2012-07-26;
13515;101521;ARGOS;ARGOS:101521;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;2012-07-26;
13516;118416;ARGOS;ARGOS:118416;DB;SVP;;;;;NOAA/AOML;USA;2012-07-27;2012-08-28;
13516;118416;ARGOS;ARGOS:118416;DB;SVP;;;;;NOAA/AOML;USA;2012-07-27;2012-08-28;
13519;101541;ARGOS;ARGOS:101541;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13519;101541;ARGOS;ARGOS:101541;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13520;39676;ARGOS;ARGOS:39676;DB;DB;;;;;NOAA/AOML;USA;2011-03-11;3000-01-01;8325
13520;39676;ARGOS;ARGOS:39676;DB;DB;;;;;NOAA/AOML;USA;2011-03-11;3000-01-01;8325
13521;118413;ARGOS;ARGOS:118413;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13521;118413;ARGOS;ARGOS:118413;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13522;104132;ARGOS;ARGOS:104132;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13522;104132;ARGOS;ARGOS:104132;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13523;118414;ARGOS;ARGOS:118414;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13523;118414;ARGOS;ARGOS:118414;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13524;118419;ARGOS;ARGOS:118419;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13524;118419;ARGOS;ARGOS:118419;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13526;118421;ARGOS;ARGOS:118421;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13526;118421;ARGOS;ARGOS:118421;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13527;44092;ARGOS;ARGOS:44092;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;6325
13527;44092;ARGOS;ARGOS:44092;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;6325
13528;118415;ARGOS;ARGOS:118415;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13528;118415;ARGOS;ARGOS:118415;DB;SVP;;;;;NOAA/AOML;USA;2012-08-23;3000-01-01;
13530;104131;ARGOS;ARGOS:104131;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13530;104131;ARGOS;ARGOS:104131;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13531;104130;ARGOS;ARGOS:104130;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13531;104130;ARGOS;ARGOS:104130;DB;DB;;;;;NOAA/AOML;USA;2012-03-08;3000-01-01;5325
13556;92033;ARGOS;ARGOS:92033;DB;DB;;;;;OGS;ITA;2011-11-25;2012-05-01;1627
13556;92033;ARGOS;ARGOS:92033;DB;DB;;;;;OGS;ITA;2011-11-25;2012-05-01;1627
13557;92034;ARGOS;ARGOS:92034;DB;SVP;;;;;OGS;ITA;2012-01-04;2012-04-01;
13557;92034;ARGOS;ARGOS:92034;DB;SVP;;;;;OGS;ITA;2012-01-04;2012-04-01;
13558;92035;ARGOS;ARGOS:92035;DB;SVP;;;;;OGS;ITA;2012-01-04;2012-07-11;
13558;92035;ARGOS;ARGOS:92035;DB;SVP;;;;;OGS;ITA;2012-01-04;2012-07-11;
13560;92037;ARGOS;ARGOS:92037;DB;DB;;;;;OGS;ITA;2011-11-21;2012-04-01;1627
13560;92037;ARGOS;ARGOS:92037;DB;DB;;;;;OGS;ITA;2011-11-21;2012-04-01;1627
13565;118405;ARGOS;ARGOS:118405;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;3000-01-01;
13565;118405;ARGOS;ARGOS:118405;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;3000-01-01;
13566;37702;ARGOS;ARGOS:37702;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13566;37702;ARGOS;ARGOS:37702;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13566;37702;ARGOS;ARGOS:37702;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13566;37702;ARGOS;ARGOS:37702;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13567;37755;ARGOS;ARGOS:37755;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13567;37755;ARGOS;ARGOS:37755;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13567;37755;ARGOS;ARGOS:37755;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13567;37755;ARGOS;ARGOS:37755;DB;SVP;;;;;NOAA/AOML;USA;2012-08-27;2012-08-30;
13568;71025;ARGOS;ARGOS:71025;DB;SVPBD2;;;;;NOAA/AOML;USA;2009-09-15;2012-05-01;5325
13568;71025;ARGOS;ARGOS:71025;DB;SVPBD2;;;;;NOAA/AOML;USA;2009-09-15;2012-05-01;5325
13569;71026;ARGOS;ARGOS:71026;DB;SVPBD2;;;;;NOAA/AOML;USA;2009-09-15;3000-01-01;5325
13569;71026;ARGOS;ARGOS:71026;DB;SVPBD2;;;;;NOAA/AOML;USA;2009-09-15;3000-01-01;5325
13570;40180;ARGOS;ARGOS:40180;DB;DB;;;;;NOAA/AOML;USA;2011-03-11;3000-01-01;8325
13570;40180;ARGOS;ARGOS:40180;DB;DB;;;;;NOAA/AOML;USA;2011-03-11;3000-01-01;8325
13588;101534;ARGOS;ARGOS:101534;DB;SVP;;;;;NOAA/AOML;USA;2012-03-12;2012-09-05;
13588;101534;ARGOS;ARGOS:101534;DB;SVP;;;;;NOAA/AOML;USA;2012-03-12;2012-09-05;
13589;81989;ARGOS;ARGOS:81989;DB;DB;;;;;NOAA/AOML;USA;2010-06-01;3000-01-01;9325
13589;81989;ARGOS;ARGOS:81989;DB;DB;;;;;NOAA/AOML;USA;2010-06-01;3000-01-01;9325
13590;71125;ARGOS;ARGOS:71125;DB;DB;;;;;NOAA/AOML;USA;2010-06-21;3000-01-01;6129
13590;71125;ARGOS;ARGOS:71125;DB;DB;;;;;NOAA/AOML;USA;2010-06-21;3000-01-01;6129
13591;10881890;IRIDIUM;IRIDIUM:10881890;DB;DB;;;;;NOAA/AOML;USA;2012-08-21;3000-01-01;
13591;10881890;IRIDIUM;IRIDIUM:10881890;DB;DB;;;;;NOAA/AOML;USA;2012-08-21;3000-01-01;
13592;10888890;IRIDIUM;IRIDIUM:10888890;DB;DB;;;;;NOAA/AOML;USA;2012-08-22;3000-01-01;
13592;10888890;IRIDIUM;IRIDIUM:10888890;DB;DB;;;;;NOAA/AOML;USA;2012-08-22;3000-01-01;
13596;98929;ARGOS;ARGOS:98929;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13596;98929;ARGOS;ARGOS:98929;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13599;75339;ARGOS;ARGOS:75339;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13599;75339;ARGOS;ARGOS:75339;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13599;75339;ARGOS;ARGOS:75339;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13599;75339;ARGOS;ARGOS:75339;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13600;43869;ARGOS;ARGOS:43869;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-08-23;3000-01-01;9325
13600;43869;ARGOS;ARGOS:43869;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-08-23;3000-01-01;9325
13602;98952;ARGOS;ARGOS:98952;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13602;98952;ARGOS;ARGOS:98952;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13621;44096;ARGOS;ARGOS:44096;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-12-21;3000-01-01;
13621;44096;ARGOS;ARGOS:44096;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-12-21;3000-01-01;
13623;37374;ARGOS;ARGOS:37374;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
13623;37374;ARGOS;ARGOS:37374;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
13627;98956;ARGOS;ARGOS:98956;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13627;98956;ARGOS;ARGOS:98956;DB;SVP;;;;;NOAA/AOML;USA;2012-03-13;3000-01-01;
13635;44115;ARGOS;ARGOS:44115;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-11-16;3000-01-01;6325
13635;44115;ARGOS;ARGOS:44115;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-11-16;3000-01-01;6325
13636;37295;ARGOS;ARGOS:37295;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
13636;37295;ARGOS;ARGOS:37295;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
13903;37375;ARGOS;ARGOS:37375;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;2012-07-26;
13903;37375;ARGOS;ARGOS:37375;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;2012-07-26;
13903;37375;ARGOS;ARGOS:37375;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;2012-07-26;
13903;37375;ARGOS;ARGOS:37375;DB;SVP;;;;;NOAA/AOML;USA;2012-05-30;2012-07-26;
13905;37385;ARGOS;ARGOS:37385;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13905;37385;ARGOS;ARGOS:37385;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13915;98954;ARGOS;ARGOS:98954;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;2012-04-09;
13915;98954;ARGOS;ARGOS:98954;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;2012-04-09;
13915;101143;ARGOS;ARGOS:101143;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;2012-04-09;
13915;101143;ARGOS;ARGOS:101143;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;2012-04-09;
13926;90522;ARGOS;ARGOS:90522;DB;DB;;;;;NOAA/AOML;USA;2010-03-04;2012-04-01;5325
13926;90522;ARGOS;ARGOS:90522;DB;DB;;;;;NOAA/AOML;USA;2010-03-04;2012-04-01;5325
13929;106540;ARGOS;ARGOS:106540;DB;SVP;;;;;NOAA/AOML;USA;2011-08-02;2012-04-01;
13929;106540;ARGOS;ARGOS:106540;DB;SVP;;;;;NOAA/AOML;USA;2011-08-02;2012-04-01;
13941;101144;ARGOS;ARGOS:101144;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13941;101144;ARGOS;ARGOS:101144;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13942;42762;ARGOS;ARGOS:42762;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13942;42762;ARGOS;ARGOS:42762;DB;SVP;;;;;NOAA/AOML;USA;2012-07-03;3000-01-01;
13945;98950;ARGOS;ARGOS:98950;DB;SVP;;;;;NOAA/AOML;USA;2011-08-30;2012-05-01;
13945;98950;ARGOS;ARGOS:98950;DB;SVP;;;;;NOAA/AOML;USA;2011-08-30;2012-05-01;
13947;101540;ARGOS;ARGOS:101540;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13947;101540;ARGOS;ARGOS:101540;DB;SVP;;;;;NOAA/AOML;USA;2012-03-19;3000-01-01;
13956;44089;ARGOS;ARGOS:44089;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-04-02;3000-01-01;
13956;44089;ARGOS;ARGOS:44089;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-04-02;3000-01-01;
13959;37311;ARGOS;ARGOS:37311;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13959;37311;ARGOS;ARGOS:37311;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13960;98948;ARGOS;ARGOS:98948;DB;SVP;;;;;NOAA/AOML;USA;2011-09-13;3000-01-01;
13960;98948;ARGOS;ARGOS:98948;DB;SVP;;;;;NOAA/AOML;USA;2011-09-13;3000-01-01;
13961;37384;ARGOS;ARGOS:37384;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13961;37384;ARGOS;ARGOS:37384;DB;SVP;;;;;NOAA/AOML;USA;2012-04-24;3000-01-01;
13962;37643;ARGOS;ARGOS:37643;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-12-12;3000-01-01;
13962;37643;ARGOS;ARGOS:37643;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-12-12;3000-01-01;
13966;98949;ARGOS;ARGOS:98949;DB;SVP;;;;;NOAA/AOML;USA;2012-01-04;3000-01-01;
13966;98949;ARGOS;ARGOS:98949;DB;SVP;;;;;NOAA/AOML;USA;2012-01-04;3000-01-01;
13967;39674;ARGOS;ARGOS:39674;DB;DB;;;;;NOAA/AOML;USA;2011-02-07;2012-04-01;8325
13967;39674;ARGOS;ARGOS:39674;DB;DB;;;;;NOAA/AOML;USA;2011-02-07;2012-04-01;8325
14040;2316;ARGOS;RAMA08S67E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-06-27;3000-01-01;
14040;2316;ARGOS;RAMA08S67E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-06-27;3000-01-01;
14041;28398;ARGOS;RAMA08S55E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-03-06;3000-01-01;
14042;6877;ARGOS;RAMA12S55E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-05-11;3000-01-01;482
14043;12526;ARGOS;RAMA12S67E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-07-30;3000-01-01;
14043;12526;ARGOS;RAMA12S67E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-07-30;3000-01-01;
14046;16855;ARGOS;RAMA16S55E;MB;ATLAS;;;;;NOAA/PMEL;USA;2012-03-08;3000-01-01;482
14511;300234011020170;IRIDIUM;IRIDIUM:300234011020170;DB;SVPBS;;;;;CMM;FRA;2012-03-18;3000-01-01;
14525;300234011024170;IRIDIUM;IRIDIUM:300234011024170;DB;SVPBS;;;;;CMM;FRA;2012-03-04;3000-01-01;
14526;300234011028180;IRIDIUM;IRIDIUM:300234011028180;DB;SVPBS;;;;;CMM;FRA;2012-03-04;3000-01-01;
14527;300234011021190;IRIDIUM;IRIDIUM:300234011021190;DB;SVPBS;;;;;CMM;FRA;2012-03-04;3000-01-01;
14528;300234011022210;IRIDIUM;IRIDIUM:300234011022210;DB;SVPBS;;;;;CMM;FRA;2012-03-03;3000-01-01;
14529;300234011024180;IRIDIUM;IRIDIUM:300234011024180;DB;SVPBS;;;;;CMM;FRA;2012-03-18;3000-01-01;
14530;300234011025160;IRIDIUM;IRIDIUM:300234011025160;DB;SVPBS;;;;;CMM;FRA;2012-03-01;3000-01-01;
14536;300234010302890;IRIDIUM;IRIDIUM:300234010302890;DB;SVPB;;;;;CMM;FRA;2011-12-23;3000-01-01;
14536;300234010302890;IRIDIUM;IRIDIUM:300234010302890;DB;SVPB;;;;;CMM;FRA;2011-12-23;3000-01-01;
14537;300234010409000;IRIDIUM;IRIDIUM:300234010409000;DB;SVPB;;;;;CMM;FRA;2011-12-24;3000-01-01;
14537;300234010409000;IRIDIUM;IRIDIUM:300234010409000;DB;SVPB;;;;;CMM;FRA;2011-12-24;3000-01-01;
14538;300234010303890;IRIDIUM;IRIDIUM:300234010303890;DB;SVPB;;;;;CMM;FRA;2011-12-25;2012-04-01;
14538;300234010303890;IRIDIUM;IRIDIUM:300234010303890;DB;SVPB;;;;;CMM;FRA;2011-12-25;2012-04-01;
14539;300234010300940;IRIDIUM;IRIDIUM:300234010300940;DB;SVPB;;;;;CMM;FRA;2011-12-26;3000-01-01;
14539;300234010300940;IRIDIUM;IRIDIUM:300234010300940;DB;SVPB;;;;;CMM;FRA;2011-12-26;3000-01-01;
14541;44169;ARGOS;ARGOS:44169;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-01-27;3000-01-01;
14541;44169;ARGOS;ARGOS:44169;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-01-27;3000-01-01;
14543;83471;ARGOS;ARGOS:83471;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;6325
14543;83471;ARGOS;ARGOS:83471;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;6325
14544;82317;ARGOS;ARGOS:82317;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;3000-01-01;
14544;82317;ARGOS;ARGOS:82317;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;3000-01-01;
14545;81841;ARGOS;ARGOS:81841;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;
14545;81841;ARGOS;ARGOS:81841;DB;SVPBD2;;;;;NOAA/AOML;USA;2011-04-06;3000-01-01;
14547;89874;ARGOS;ARGOS:89874;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-10-07;3000-01-01;9325
14547;89874;ARGOS;ARGOS:89874;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-10-07;3000-01-01;9325
14550;75283;ARGOS;ARGOS:75283;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-04-13;3000-01-01;6325
14550;75283;ARGOS;ARGOS:75283;DB;SVPBD2;;;;;NOAA/AOML;USA;2010-04-13;3000-01-01;6325
14552;39808;ARGOS;ARGOS:39808;DB;DB;;;;;NOAA/AOML;USA;2012-02-13;3000-01-01;8325
14552;39808;ARGOS;ARGOS:39808;DB;DB;;;;;NOAA/AOML;USA;2012-02-13;3000-01-01;8325
14552;39808;ARGOS;ARGOS:39808;DB;DB;;;;;NOAA/AOML;USA;2012-02-13;3000-01-01;8325
14552;39808;ARGOS;ARGOS:39808;DB;DB;;;;;NOAA/AOML;USA;2012-02-13;3000-01-01;8325
14554;70906;ARGOS;ARGOS:70906;DB;SVPBD2;;;;;NOAA/AOML;USA;2008-05-02;3000-01-01;5325
14554;70906;ARGOS;ARGOS:70906;DB;SVPBD2;;;;;NOAA/AOML;USA;2008-05-02;3000-01-01;5325
14558;82628;ARGOS;ARGOS:82628;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;2012-05-01;
14558;82628;ARGOS;ARGOS:82628;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-02-07;2012-05-01;
14562;82306;ARGOS;ARGOS:82306;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
14562;82306;ARGOS;ARGOS:82306;DB;SVPBD2;;;;;NOAA/AOML;USA;2012-05-30;3000-01-01;
14563;81846;ARGOS;ARGOS:81846;DB;SVPB;;;;;NOAA/AOML;USA;2011-03-29;3000-01-01;
