State/Province, ST/PR, County/City/Disrict, CCD
Alaska,AK,AK1st (SE),SE
,AK,AK2nd (NW),NW
,AK,AK3rd (SC),SC
,AK,AK4th (C),C
Alabama,AL,Autauga,AUTA
,AL,Baldwin,BALD
,AL,Barbour,BARB
,AL,Bibb,BIBB
,AL,Blount,BLOU
,AL,Bullock,BULL
,AL,Butler,BUTL
,AL,Calhoun,CHOU
,AL,Chambers,CHMB
,AL,Cherokee,CKEE
,AL,Chilton,CHIL
,AL,Choctaw,CHOC
,AL,Clarke,CLRK
,AL,Clay,CLAY
,AL,Cleburne,CLEB
,AL,Coffee,COFF
,AL,Colbert,COLB
,AL,Conecuh,CONE
,AL,Coosa,COOS
,AL,Covington,COVI
,AL,Crenshaw,CREN
,AL,Cullman,CULM
,AL,Dale,DALE
,AL,Dallas,DLLS
,AL,DeKalb,DKLB
,AL,Elmore,ELMO
,AL,Escambia,ESCA
,AL,Etowah,ETOW
,AL,Fayette,FAYE
,AL,Franklin,FRNK
,AL,Geneva,GENE
,AL,Greene,GREE
,AL,Hale,HALE
,AL,Henry,HNRY
,AL,Houston,HOUS
,AL,Jackson,JKSN
,AL,Jefferson,JEFF
,AL,Lamar,LAMA
,AL,Lauderdale,LAUD
,AL,Lawrence,LAWR
,AL,Lee,LEE
,AL,Limestone,LIME
,AL,Lowndes,LOWN
,AL,Macon,MACO
,AL,Madison,MDSN
,AL,Marengo,MRGO
,AL,Marion,MARI
,AL,Marshall,MRSH
,AL,Mobile,MOBI
,AL,Monroe,MNRO
,AL,Montgomery,MGMY
,AL,Morgan,MORG
,AL,Perry,PERR
,AL,Pickens,PICK
,AL,Pike,PIKE
,AL,Randolph,RAND
,AL,Russell,RSSL
,AL,Shelby,SHEL
,AL,St. Clair,SCLR
,AL,Sumter,SUMT
,AL,Talladega,TDEG
,AL,Tallapoosa,TPOO
,AL,Tuscaloosa,TUSC
,AL,Walker,WLKR
,AL,Washington,WASH
,AL,Wilcox,WLCX
,AL,Winston,WINS
Arizona,AZ,Apache,APH
,AZ,Cochise,CHS
,AZ,Coconino,CNO
,AZ,Gila,GLA
,AZ,Graham,GHM
,AZ,Greenlee,GLE
,AZ,La Paz,LPZ
,AZ,Maricopa,MCP
,AZ,Mohave,MHV
,AZ,Navajo,NVO
,AZ,Pima,PMA
,AZ,Pinal,PNL
,AZ,Santa Cruz,SCZ
,AZ,Yavapai,YVP
,AZ,Yuma,YMA
Arkansas,AR,Arkansas,ARKA
,AR,Ashley,ASHL
,AR,Baxter,BAXT
,AR,Benton,BENT
,AR,Boone,BOON
,AR,Bradley,BRAD
,AR,Calhoun,CALH
,AR,Carroll,CARR
,AR,Chicot,CHIC
,AR,Clark,CLRK
,AR,Clay,CLAY
,AR,Cleburne,CLEB
,AR,Cleveland,CLEV
,AR,Columbia,COLU
,AR,Conway,CONW
